2195410 total number of matches in the dataset

# Aatrox
                  win%   matches
    Kaisa        47.31%   7162
    Mel          47.30%   4051
    Vladimir     47.28%   1546
    XinZhao      47.26%   2247
    Udyr         47.24%    798
    Sejuani      47.23%   1154
    Ashe         47.21%   4827
    Fizz         47.20%   1769
    Akshan       47.19%    695
    LeeSin       47.19%   6152
    Pantheon     47.17%   3810
    Caitlyn      47.09%   8129
    Poppy        47.08%   1663
    Corki        47.01%   1404
    Urgot        46.98%    232
    Shen         46.95%    835
    Lucian       46.93%   4641
    Smolder      46.87%   3909
    Yasuo        46.64%   3900
    Naafiri      46.61%   1680
    Kindred      46.56%   1192
    Aurora       46.48%   1762
    Ezreal       46.36%   7651
    Malphite     46.35%   1741
    Tristana     46.34%   3157
