2195410 total number of matches in the dataset

# Aatrox
                  win%   matches
    Nautilus     50.29%   3571
    Shen         50.28%   1762
    Velkoz       50.26%   1140
    Seraphine    50.25%   1632
    Ekko         50.23%   1525
    Sion         50.23%   1529
    Zac          50.22%   1384
    Darius       50.19%   3144
    Ahri         50.19%    795
    XinZhao      50.16%   2428
    Graves       50.16%   3222
    Ryze         50.15%  73992
    Lucian       50.14%   4214
    Chogath      50.10%   1441
    Xayah        50.05%   1822
    Ambessa      50.00%   1432
    Aatrox       49.97%   2990
    Soraka       49.97%   1441
    Rammus       49.94%    849
    Varus        49.92%   2520
    Twitch       49.91%   1597
    Katarina     49.89%    449
    Galio        49.89%    874
    Shaco        49.88%   2963
    Thresh       49.75%   4245
    Annie        49.71%    344
    Kindred      49.71%   1201
    Jax          49.66%   2686
    Zyra         49.64%   1668
    Talon        49.61%   1417
    AurelionSol  49.61%    254
    Volibear     49.59%   2553
    Yasuo        49.57%   2449
    Elise        49.55%   1100
    Tristana     49.54%   2816
    Akali        49.39%    816
    Yuumi        49.25%   2059
    Anivia       49.24%    262
    Leblanc      49.23%    717
    Zed          49.17%   2780
    RekSai       49.16%    358
    Pantheon     49.11%   4079
    Alistar      49.10%   1786
    Rengar       48.94%    801
    Zoe          48.91%    411
    Senna        48.90%   3280
    Singed       48.86%    528
    Fiddlesticks 48.78%   1064
    Smolder      48.73%   3312
    DrMundo      48.73%   2087
    Draven       48.68%   1323
    Brand        48.54%   1541
    Zeri         48.40%   1190
    Skarner      48.33%    569
    Kaisa        48.24%   5951
    Teemo        48.23%   2204
    TahmKench    48.10%   1736
    Aphelios     48.05%   1744
    Cassiopeia   48.00%    225
    Lillia       47.99%   1194
    Corki        47.97%    913
    Evelynn      47.87%    704
    Ezreal       47.85%   6268
    Hwei         47.65%    682
    Shyvana      47.58%    683
    Veigar       47.45%    725
    Camille      47.45%    959
    Blitzcrank   47.21%   2241
    Rumble       47.18%    479
    Nidalee      47.16%   1164
    Karthus      47.13%    505
    Belveth      47.08%    582
    Sylas        47.02%   1727
    Gragas       46.94%   1129
    Sejuani      46.62%   1021
    Hecarim      46.62%   1197
    Neeko        46.61%   1017
    Aurora       46.60%    412
    Kennen       46.48%    497
    Quinn        46.40%    681
    KSante       46.31%   1084
    Jayce        46.28%   1627
    Olaf         46.22%    608
    Yunara       46.15%   1209
    Udyr         45.83%    875
    Mel          45.77%   1833
    Syndra       44.97%    338
    Orianna      44.92%    325
    Ivern        44.59%    370
    Lissandra    44.44%    261
    Gnar         44.34%    972
    Taliyah      43.77%    281
    Kalista      42.29%    584


# Samira
                  win%   matches
    Nilah        55.00%     40
    Taric        54.79%   1190
    Kalista      54.29%    105
    Sona         53.83%    784
    Vex          53.60%   2472
    Quinn        53.09%   1343
    Janna        52.99%    819
    KogMaw       52.94%    136
    Malzahar     52.92%   4452
    Briar        52.79%   2828
    Renata       52.68%    784
    Kayle        52.67%   2793
    AurelionSol  52.56%   1663
    Maokai       52.55%   2887
    Trundle      52.52%   4044
    Annie        52.38%   1638
    Amumu        52.34%   3888
    Singed       52.32%   1166
    Diana        52.30%   6361
    Zilean       52.28%    832
    Nami         52.26%   2369
    Morgana      52.24%   4085
    Lissandra    52.19%   1663
    Fiora        52.08%   1780
    Mordekaiser  51.89%   5747
    Lillia       51.84%   2751
    Veigar       51.79%   3864
    Nautilus     51.72%  14821
    Leona        51.68%   9533
    Viktor       51.62%   3493
    Heimerdinger 51.62%   1701
    Nunu         51.60%   1905
    Alistar      51.58%   5004
    Xerath       51.58%   3300
    Sett         51.51%   6026
    JarvanIV     51.47%   3239
    RekSai       51.43%    488
    Rell         51.36%   6221
    Sejuani      51.36%   1657
    Fiddlesticks 51.27%   2128
    Ornn         51.23%   1823
    Zyra         51.20%   2543
    Zac          51.17%   2572
    Orianna      51.13%   2343
    Graves       51.12%   3740
    Chogath      51.10%   3266
    Shen         51.10%   3280
    Teemo        51.09%   4954
    Karthus      51.07%   1075
    Nasus        51.06%   3523
    Warwick      51.01%   5822
    Cassiopeia   51.01%   1143
    XinZhao      50.95%   2999
    Seraphine    50.93%   2089
    Nocturne     50.93%   5144
    DrMundo      50.90%   4177
    Taliyah      50.87%   1264
    Rammus       50.83%   1385
    Anivia       50.79%   1264
    Urgot        50.76%   1846
    Vayne        50.75%   1198
    Renekton     50.72%   3188
    Syndra       50.67%   2451
    Malphite     50.66%   5231
    Evelynn      50.60%   1579
    Yorick       50.54%   3607
    Thresh       50.46%   7672
    Ryze         50.45%   1897
    Kennen       50.33%   1530
    Hecarim      50.32%   1727
    MonkeyKing   50.23%   2805
    Galio        50.22%   3560
    Swain        50.20%   4092
    Illaoi       50.14%   2108
    Volibear     50.10%   5262
    Soraka       50.08%   1228
    Samira       49.98%  116359
    Ahri         49.96%   5644
    TwistedFate  49.91%   2771
    Brand        49.89%   2828
    Neeko        49.86%   2142
    Gragas       49.83%   2655
    Kled         49.77%    862
    Aatrox       49.75%   4752
    Hwei         49.73%   2612
    Lux          49.71%   8215
    Jayce        49.71%   2561
    Kayn         49.68%   5882
    Elise        49.61%   1782
    Rakan        49.61%   2030
    Pantheon     49.60%   7580
    Naafiri      49.59%   2688
    Sion         49.51%   2680
    Vi           49.43%   3245
    Shyvana      49.43%   1313
    Pyke         49.42%   5291
    Shaco        49.40%   4668
    Velkoz       49.40%   1832
    Milio        49.36%    936
    Ekko         49.23%   4794
    Jax          49.19%   4714
    Zoe          49.18%   1759
    Darius       49.09%   5736
    Viego        49.09%   6519
    Gwen         49.06%   2760
    Senna        49.05%   1682
    Vladimir     49.03%   3047
    Ashe         48.95%    572
    Yasuo        48.93%   8009
    Leblanc      48.93%   3043
    Ivern        48.92%    693
    Garen        48.90%   4601
    Gnar         48.86%   1711
    Irelia       48.84%   3634
    LeeSin       48.80%   7636
    Mel          48.79%   4480
    Sylas        48.77%   7412
    Olaf         48.71%   1010
    Poppy        48.67%   2404
    Blitzcrank   48.54%   4629
    Yone         48.53%   7354
    Tryndamere   48.50%   2169
    TahmKench    48.46%   3238
    Akali        48.39%   5257
    Smolder      48.36%   1431
    Aurora       48.35%   2182
    Camille      48.25%   1629
    Belveth      48.23%    987
    Kassadin     48.22%    954
    Rumble       48.16%   1277
    MasterYi     48.05%   4618
    MissFortune  48.00%    425
    Varus        47.98%    692
    Qiyana       47.96%   1178
    Khazix       47.94%   3615
    Nidalee      47.86%   1868
    Fizz         47.81%   2763
    Caitlyn      47.67%    558
    Karma        47.61%   1802
    Kaisa        47.61%    439
    Riven        47.59%   2034
    Katarina     47.33%   3433
    Zed          47.30%   6083
    Kindred      47.28%   1671
    Talon        47.27%   2382
    Gangplank    46.89%   1770
    Braum        46.82%   1557
    Jinx         46.75%    231
    Skarner      46.52%    847
    Udyr         46.35%   1495
    Azir         46.22%   1521
    Ambessa      46.19%   2007
    Ziggs        45.78%    758
    Aphelios     45.57%     79
    Yuumi        45.48%   1649
    Jhin         45.39%    423
    KSante       45.26%   1739
    Akshan       45.20%   1115
    Lulu         45.16%   1840
    Bard         45.15%    784
    Sivir        45.12%     82
    Tristana     44.64%    672
    Draven       44.37%    151
    Rengar       44.34%   1378
    Lucian       44.30%    316
    Yunara       43.88%    196
    Corki        43.77%    393
    Ezreal       43.58%    615
    Twitch       41.51%    436
    Xayah        39.29%     56
    Zeri         38.37%     86


# Sejuani
                  win%   matches
    KogMaw       54.79%    803
    Nilah        54.24%    695
    Nocturne     53.85%    351
    Lillia       53.57%    224
    Zyra         53.14%   1577
    Quinn        53.09%    810
    Fiddlesticks 53.04%    460
    Amumu        52.92%    291
    Kayle        52.62%   1505
    Milio        52.51%   1533
    Naafiri      52.47%    709
    Velkoz       52.15%   1486
    Trundle      52.03%   1180
    Taric        52.00%    350
    Yorick       51.96%   1659
    Fiora        51.88%   1089
    Twitch       51.83%   1445
    Sett         51.79%   2881
    Irelia       51.77%   2341
    Brand        51.74%   2153
    Poppy        51.65%    997
    Diana        51.50%   1635
    Vladimir     51.41%   1558
    Samira       51.36%   1657
    MasterYi     51.32%    456
    Vi           51.32%    304
    Vayne        51.29%   2973
    Urgot        51.29%    850
    Katarina     51.28%   2028
    Sivir        51.26%   1744
    Mordekaiser  51.15%   2606
    Galio        51.09%   1507
    Singed       50.98%    510
    Jinx         50.93%   5857
    Yuumi        50.90%   1782
    Morgana      50.82%   2619
    Renekton     50.80%   1872
    Tryndamere   50.77%   1164
    Fizz         50.76%   1586
    TahmKench    50.73%   1443
    Heimerdinger 50.68%    955
    Viktor       50.64%   2346
    Malzahar     50.61%   2393
    Warwick      50.57%   1044
    MonkeyKing   50.54%    560
    Ekko         50.53%   1314
    Annie        50.39%    907
    AurelionSol  50.31%    970
    Gwen         50.26%   1154
    Pyke         50.15%   2319
    Xerath       50.13%   3040
    Pantheon     50.10%   2385
    Leona        50.10%   2046
    RekSai       50.00%     50
    Nami         49.96%   2454
    Swain        49.89%   1880
    Soraka       49.88%   1219
    JarvanIV     49.85%    331
    Lux          49.84%   6485
    Alistar      49.83%   1182
    Volibear     49.77%   1320
    MissFortune  49.77%   5114
    Jhin         49.74%   6090
    Veigar       49.71%   2416
    Riven        49.68%   1234
    Malphite     49.67%   2281
    XinZhao      49.60%    375
    Zac          49.39%    407
    Neeko        49.37%   1195
    Sylas        49.35%   4290
    Lucian       49.31%   3350
    Chogath      49.26%   1358
    Rell         49.23%    969
    Cassiopeia   49.21%    632
    Jax          49.14%   2086
    Nidalee      49.12%    342
    Sejuani      49.09%  66274
    Aatrox       49.05%   2736
    Teemo        49.04%   2643
    Darius       49.01%   2834
    Graves       48.93%    374
    Kled         48.90%    454
    Ahri         48.87%   2998
    DrMundo      48.83%   1370
    Smolder      48.82%   3515
    Ornn         48.81%    674
    Shaco        48.77%   1054
    Lulu         48.76%   2992
    Syndra       48.69%   1411
    Hwei         48.65%   1708
    Seraphine    48.65%   1669
    Viego        48.63%    547
    Nasus        48.62%   1672
    Zilean       48.62%    687
    Senna        48.58%   2785
    Thresh       48.57%   3183
    Shen         48.57%   1258
    Kaisa        48.55%   5446
    Vex          48.54%   1265
    Kennen       48.51%    804
    Garen        48.50%   2408
    Sona         48.49%    829
    Illaoi       48.46%   1071
    Caitlyn      48.41%   6472
    Xayah        48.41%   1475
    Kayn         48.39%    436
    Blitzcrank   48.26%   1726
    Yasuo        48.19%   4877
    Gangplank    48.11%   1112
    Akshan       48.11%    688
    Yone         48.06%   5853
    Kassadin     48.01%    552
    Ziggs        47.93%   1062
    Janna        47.88%    706
    Ashe         47.87%   4182
    Akali        47.73%   3040
    Ivern        47.73%     88
    Karma        47.71%   2341
    Olaf         47.71%    503
    Zed          47.70%   2765
    Gnar         47.66%    896
    Braum        47.61%   1571
    Ezreal       47.54%   5732
    Jayce        47.51%   1825
    Zoe          47.42%    987
    Orianna      47.35%   1284
    Aphelios     47.34%   1426
    Mel          47.33%   3074
    Aurora       47.28%   1288
    Zeri         47.26%   1075
    Sion         47.24%   1158
    Ambessa      47.23%   1154
    Anivia       47.22%    790
    Azir         47.21%    915
    LeeSin       47.15%    806
    Khazix       47.08%    240
    Nunu         46.95%    164
    Elise        46.91%    437
    Leblanc      46.81%   1972
    Talon        46.69%    786
    Rengar       46.67%    210
    Ryze         46.62%   1021
    Tristana     46.51%   2705
    Karthus      46.25%    160
    Nautilus     46.06%   2642
    Bard         46.01%    689
    Taliyah      46.00%    550
    Renata       45.89%    414
    Qiyana       45.83%    552
    Shyvana      45.83%    144
    Varus        45.77%   2425
    Gragas       45.70%    919
    Briar        45.65%    276
    Rakan        45.38%   1049
    Camille      45.09%   1029
    TwistedFate  44.91%   1454
    Maokai       44.74%    818
    Corki        44.44%    918
    Draven       44.26%   1238
    Rumble       44.10%    687
